POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,Description,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,Loading/Unloading,Detention,KITITEM,U_AssetClass,Customer Type,U_TRINPD
1/18/2020,1/18/2020,1/18/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,312,Nos,2060,2019/2386,1/18/2020,1/18/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/18/2020,1/18/2020,1/18/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,312,Nos,2060,2019/2386,1/18/2020,1/18/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,Wooden Pallet,,
1/24/2020,1/24/2020,1/24/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/24/2020,1/24/2020,1/24/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/24/2020,1/24/2020,1/24/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/24/2020,1/24/2020,1/24/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/24/2020,1/24/2020,1/24/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,300,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/25/2020,1/25/2020,1/25/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,144,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
1/25/2020,1/25/2020,1/25/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,,,,Wooden Pallet,,
1/25/2020,1/25/2020,1/25/2020,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,2500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,330,Nos,2060,2019/2643,1/24/2020,1/25/2020,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,0,,,Wooden Pallet,,
